5e-07  0.475 0.5
1.53  0.008  6.94e-07
8.71751  8.71787  8.7177  -0.00927492
8.69834  8.6987  8.69852  -0.00925564
8.67922  8.67957  8.6794  -0.00923641
8.66014  8.6605  8.66032  -0.00921723
8.64112  8.64147  8.6413  -0.00919809
8.62214  8.6225  8.62232  -0.00917899
8.60321  8.60357  8.6034  -0.00915994
8.58434  8.58469  8.58452  -0.00914094
8.56551  8.56586  8.56569  -0.00912198
8.54673  8.54708  8.54691  -0.00910307
8.528  8.52834  8.52817  -0.00908419
8.50931  8.50966  8.50949  -0.00906538
8.49068  8.49102  8.49085  -0.0090466
8.47209  8.47243  8.47227  -0.00902786
8.45355  8.45389  8.45373  -0.00900918
8.43506  8.4354  8.43523  -0.00899053
8.41661  8.41696  8.41679  -0.00897193
8.39822  8.39856  8.39839  -0.00895338
8.37987  8.38021  8.38004  -0.00893488
8.36156  8.3619  8.36174  -0.00891641
8.34331  8.34365  8.34348  -0.00889799
8.3251  8.32544  8.32527  -0.00887962
8.30694  8.30727  8.30711  -0.00886128
